"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Arrivals","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","20-24 years",38,54,47,40,45,44,26,18,24,27,25,26,21,15,19,22,20,17,19,25,21,17,23,35,42
" "," ","25-29 years",30,32,29,33,30,45,35,20,31,39,33,33,35,39,33,32,18,35,30,21,35,28,26,45,37
" "," ","30-34 years",18,28,19,16,13,15,15,12,19,9,16,13,27,23,20,16,22,14,21,14,15,6,26,19,21
" "," ","35-39 years",7,9,10,9,8,15,9,9,6,8,10,8,14,14,11,10,15,18,19,10,12,12,7,16,19
" "," ","40-44 years",6,5,6,13,5,5,4,7,7,6,5,5,12,9,6,9,17,8,7,4,6,7,11,17,11
" "," ","45-49 years",5,5,1,5,6,3,4,7,3,4,4,5,7,5,4,13,12,6,7,5,5,6,9,7,12
" "," ","50-54 years",3,0,4,1,2,4,2,2,3,2,0,4,5,7,5,4,8,8,3,3,4,2,4,7,1
" "," ","55-59 years",1,1,0,1,1,0,2,1,0,2,3,2,2,1,4,4,1,6,6,1,1,3,2,4,6
" "," ","60-64 years",1,3,0,2,1,3,1,4,1,0,1,2,4,5,2,3,1,0,1,4,4,3,2,7,3
" "," ","65-69 years",0,0,0,0,0,0,1,1,1,2,0,0,1,2,1,0,2,2,0,1,4,2,6,2,4
" "," ","70-74 years",1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,2,0,1,0
" "," ","75 years and over",0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,2,0,3
" ","Hamilton City","0-4 years",47,46,82,89,81,80,68,49,51,57,68,78,89,84,68,92,103,93,115,92,80,74,79,106,86
" "," ","5-9 years",35,31,49,55,54,63,68,55,49,51,83,71,77,93,62,90,80,84,94,69,89,64,50,71,104
" "," ","10-14 years",24,41,36,49,61,86,56,49,41,60,56,78,88,79,85,90,102,80,80,61,60,60,44,79,67
" "," ","15-19 years",57,49,61,80,72,81,83,92,66,100,142,147,144,100,108,128,130,129,152,126,98,125,135,158,146
" "," ","20-24 years",121,100,119,125,135,164,137,109,96,115,166,212,274,206,192,230,283,299,332,277,237,257,241,304,313
" "," ","25-29 years",134,162,152,158,180,176,145,163,171,155,165,196,225,195,197,193,204,239,247,210,195,174,173,206,276
" "," ","30-34 years",71,91,112,119,138,127,129,104,104,100,115,143,156,169,139,163,173,162,136,115,140,118,127,164,169
" "," ","35-39 years",46,48,72,73,78,96,89,62,69,67,99,108,132,88,104,113,134,123,113,111,90,97,77,88,104
" "," ","40-44 years",31,33,51,60,63,85,71,58,50,53,51,68,87,73,79,86,78,77,65,51,72,59,57,56,72
" "," ","45-49 years",17,14,34,27,35,52,47,44,33,33,57,65,53,65,62,54,50,62,39,30,56,37,49,53,46
" "," ","50-54 years",16,15,23,16,19,32,33,28,32,25,25,22,31,39,49,36,31,40,40,37,33,27,37,31,49
" "," ","55-59 years",12,11,11,6,14,16,15,20,20,25,23,17,23,30,28,24,29,27,34,26,25,25,25,42,45
" "," ","60-64 years",5,6,11,8,12,9,13,12,11,12,20,19,17,12,24,20,26,26,26,19,34,31,32,55,41
" "," ","65-69 years",10,9,9,8,7,16,17,6,13,10,7,8,13,13,15,14,14,16,14,15,14,28,33,18,29
" "," ","70-74 years",5,0,3,6,3,4,1,4,6,2,13,11,7,8,8,18,8,13,6,5,12,6,7,11,10
" "," ","75 years and over",2,1,2,5,6,7,2,5,3,3,3,3,3,4,4,8,5,3,5,8,7,10,10,10,6
" ","Waipa District","0-4 years",15,12,7,16,17,12,14,13,13,14,13,13,15,17,23,14,21,17,14,15,16,26,22,20,25
" "," ","5-9 years",9,8,12,4,15,11,5,13,8,13,12,8,17,15,17,12,16,16,10,18,14,15,18,18,33
" "," ","10-14 years",8,9,10,14,19,14,15,5,10,10,10,15,12,12,27,12,20,20,26,16,13,12,15,14,23
" "," ","15-19 years",15,12,19,27,20,24,16,10,20,14,22,20,30,34,17,23,23,29,27,32,25,30,28,31,36
" "," ","20-24 years",31,37,22,21,22,31,25,17,23,32,39,26,41,28,19,22,30,36,23,18,25,22,23,51,47
" "," ","25-29 years",42,40,40,41,44,42,31,41,62,33,49,41,47,58,59,43,44,36,43,44,25,36,40,51,74
" "," ","30-34 years",25,18,21,23,21,21,24,24,31,17,21,28,33,37,32,27,39,33,33,25,32,29,29,42,48
" "," ","35-39 years",10,7,15,17,18,17,20,12,8,12,14,17,16,18,27,26,20,22,20,16,17,19,14,25,26
" "," ","40-44 years",10,8,7,12,11,11,9,9,4,10,3,11,17,23,20,14,16,17,16,15,16,20,11,10,21
" "," ","45-49 years",1,3,7,5,8,4,10,4,10,5,6,6,9,13,15,10,9,11,10,7,10,11,9,10,24
" "," ","50-54 years",4,6,2,3,2,5,3,5,4,8,3,12,8,9,8,8,7,8,10,5,11,7,9,14,10
" "," ","55-59 years",7,1,1,3,3,3,3,2,2,4,6,4,11,5,5,4,8,5,4,8,7,6,9,9,9
" "," ","60-64 years",3,4,0,0,4,4,0,4,3,3,3,4,1,4,4,2,5,7,9,5,6,8,4,7,15
" "," ","65-69 years",1,5,2,2,2,1,4,3,2,2,1,2,0,3,4,4,2,0,5,6,3,6,7,7,8
" "," ","70-74 years",1,4,1,1,1,1,1,1,2,0,0,3,0,0,1,2,1,2,2,1,2,1,3,1,6
" "," ","75 years and over",0,2,0,2,3,2,1,0,3,2,1,1,3,4,1,1,3,1,4,0,1,1,2,5,3
" ","Otorohanga District","0-4 years",2,4,4,3,4,1,2,1,0,2,0,2,0,2,4,1,1,4,2,2,3,2,0,1,2
" "," ","5-9 years",0,3,3,1,1,0,0,1,2,1,1,1,0,3,2,3,2,5,1,1,4,1,1,1,1
" "," ","10-14 years",0,3,2,4,3,1,1,1,0,0,1,1,2,4,2,2,1,2,2,0,0,1,1,0,1
" "," ","15-19 years",2,3,2,1,3,1,4,3,0,1,3,3,0,1,1,1,5,2,1,2,2,2,0,1,5
" "," ","20-24 years",8,8,3,4,3,5,5,3,0,8,3,4,6,4,1,5,2,4,2,4,2,1,3,3,3
" "," ","25-29 years",13,6,10,9,6,5,7,3,5,6,8,7,8,5,7,3,1,4,6,5,2,4,4,10,5
" "," ","30-34 years",4,2,2,3,2,4,2,1,6,1,7,4,3,7,6,6,0,3,1,2,2,2,5,5,2
" "," ","35-39 years",0,0,3,3,1,1,0,2,2,3,3,3,1,3,2,3,4,0,1,2,0,2,2,2,3
" "," ","40-44 years",2,0,1,1,3,2,1,1,1,2,0,2,2,4,2,4,1,4,1,0,4,1,4,2,3
" "," ","45-49 years",1,0,1,1,1,0,1,1,1,1,0,0,2,1,1,0,1,1,1,2,2,1,1,1,1
" "," ","50-54 years",0,0,0,1,1,1,0,0,0,0,1,2,1,0,0,1,2,0,1,0,0,1,1,0,2
" "," ","55-59 years",0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,2,0
" "," ","60-64 years",0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,1,1,1,0
" "," ","65-69 years",1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,2,0,3
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
" "," ","75 years and over",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
" ","South Waikato District","0-4 years",11,7,10,9,5,8,7,14,5,8,4,9,12,7,14,4,9,11,8,4,11,11,6,6,13
" "," ","5-9 years",13,3,7,10,5,7,7,14,4,6,3,5,16,12,11,6,4,7,8,7,5,7,3,6,10
" "," ","10-14 years",6,5,1,8,4,6,5,2,5,4,4,4,9,8,3,3,9,8,8,6,4,8,3,2,7
" "," ","15-19 years",7,11,8,11,8,11,8,5,5,6,6,9,9,10,7,6,9,10,8,9,4,6,8,5,14
" "," ","20-24 years",26,14,8,8,13,21,17,13,7,6,15,14,8,9,12,12,9,13,13,9,7,11,8,15,16
" "," ","25-29 years",31,12,13,14,27,21,20,18,14,14,14,17,22,20,22,22,11,22,17,9,7,11,7,18,22
" "," ","30-34 years",17,14,13,15,8,19,14,10,16,10,18,10,14,7,12,12,15,10,11,4,7,11,11,16,12
" "," ","35-39 years",9,5,1,4,11,11,7,12,4,7,6,7,7,13,11,4,10,9,5,6,6,12,5,9,7
" "," ","40-44 years",6,4,6,5,2,8,11,1,1,4,4,2,10,8,3,5,6,9,5,5,3,1,5,3,9
" "," ","45-49 years",4,5,2,2,2,3,0,3,4,1,3,5,5,5,7,4,3,5,5,3,7,4,5,8,3
" "," ","50-54 years",2,3,2,2,1,3,5,2,1,2,3,1,0,0,4,1,3,2,6,1,1,4,0,6,9
" "," ","55-59 years",2,0,2,0,2,1,8,1,0,2,0,0,2,6,3,3,3,2,2,3,2,2,5,2,2
" "," ","60-64 years",1,2,3,0,1,1,1,0,1,1,0,2,2,2,1,1,5,3,2,4,1,1,3,5,3
" "," ","65-69 years",1,0,0,3,1,1,3,0,1,0,0,2,3,1,0,2,5,2,0,0,2,4,2,1,5
" "," ","70-74 years",1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,3,0,0,0,0,1,0,0,1
" "," ","75 years and over",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0
" ","Waitomo District","0-4 years",0,1,6,3,3,0,1,0,0,3,3,0,3,2,5,1,2,2,2,4,6,4,6,7,4
" "," ","5-9 years",2,1,0,4,0,1,4,5,2,2,3,0,3,0,1,1,3,3,1,0,3,0,0,5,5
" "," ","10-14 years",1,3,2,1,1,0,4,2,0,3,0,1,1,0,3,0,3,3,2,1,1,0,3,0,3
" "," ","15-19 years",2,4,2,5,2,7,5,3,0,0,3,6,3,2,2,3,3,2,2,0,4,0,3,3,3
" "," ","20-24 years",14,5,6,8,3,2,4,3,4,6,4,3,5,2,4,1,1,4,1,5,3,4,5,4,3
" "," ","25-29 years",10,5,6,10,9,6,5,7,7,8,11,8,6,3,5,8,7,9,3,1,6,4,3,10,4
" "," ","30-34 years",4,3,1,2,5,3,4,2,3,4,3,7,2,7,11,3,6,6,3,5,2,5,6,11,13
" "," ","35-39 years",4,3,1,3,2,3,3,0,5,2,2,1,3,1,1,2,0,2,1,1,6,3,5,4,9
" "," ","40-44 years",0,2,1,3,5,1,2,1,2,3,1,1,2,0,1,4,3,4,0,1,1,1,1,4,4
" "," ","45-49 years",0,0,0,0,1,1,1,1,0,0,0,0,0,1,3,1,1,2,0,1,0,0,0,1,0
" "," ","50-54 years",0,0,2,2,0,3,3,0,1,1,0,0,0,0,2,2,4,0,1,1,0,0,2,0,2
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,1,0,1,4
" "," ","60-64 years",0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,3,1,0,0,0,0,1
" "," ","65-69 years",0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,1
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" ","Taupo District","0-4 years",12,13,22,17,16,11,8,11,10,12,11,12,18,11,15,11,18,17,18,20,12,14,17,20,26
" "," ","5-9 years",6,5,8,15,13,7,12,8,10,5,8,5,21,4,10,14,16,11,11,21,9,15,15,16,13
" "," ","10-14 years",6,4,3,3,7,10,9,3,10,3,7,11,11,10,9,10,7,11,11,6,14,7,8,8,13
" "," ","15-19 years",10,5,13,16,14,12,14,10,9,12,8,10,12,10,7,10,13,9,13,16,22,13,16,19,13
" "," ","20-24 years",24,20,17,22,17,11,18,14,20,18,22,23,19,17,21,23,12,18,22,17,22,16,12,32,23
" "," ","25-29 years",26,29,28,37,31,31,29,26,39,30,35,41,36,26,32,22,26,27,33,31,37,28,26,40,37
" "," ","30-34 years",13,19,18,25,9,17,16,15,12,20,23,25,33,36,25,24,14,27,29,27,20,14,14,31,33
" "," ","35-39 years",11,11,14,15,11,8,9,8,10,10,11,14,15,17,23,24,20,15,24,10,16,24,7,17,15
" "," ","40-44 years",6,8,8,10,10,9,10,4,5,6,6,10,7,8,14,7,19,14,8,17,13,8,16,17,15
" "," ","45-49 years",5,3,4,4,11,1,5,6,6,4,6,5,5,11,8,9,7,11,10,10,9,13,7,12,12
" "," ","50-54 years",5,3,4,3,2,4,5,7,2,6,5,8,3,3,8,14,5,5,6,6,7,9,16,8,7
" "," ","55-59 years",3,2,4,3,4,6,3,4,5,6,6,5,4,6,2,2,8,7,6,2,9,4,7,6,8
" "," ","60-64 years",5,2,1,3,2,3,1,0,1,1,3,6,3,3,9,0,0,8,5,9,7,2,8,6,7
" "," ","65-69 years",0,1,1,1,0,1,3,3,1,1,4,2,1,2,5,1,3,2,4,6,8,3,6,7,7
" "," ","70-74 years",0,0,0,2,0,0,1,2,0,2,0,1,0,1,0,1,2,1,0,2,1,1,3,4,4
" "," ","75 years and over",1,1,1,0,0,2,0,0,0,1,1,1,2,0,0,1,3,0,1,3,0,1,2,1,2
" ","Western Bay of Plenty District","0-4 years",5,8,5,7,10,11,11,16,9,16,14,9,14,14,15,18,15,33,17,17,12,19,19,16,22
" "," ","5-9 years",0,7,6,6,6,5,7,15,8,10,13,5,12,14,14,20,24,14,9,19,15,14,7,20,11
" "," ","10-14 years",7,9,12,10,6,10,3,4,2,4,5,7,12,10,10,8,23,9,10,11,10,6,8,13,15
" "," ","15-19 years",7,10,7,8,11,11,5,14,5,8,14,4,11,10,12,17,12,20,20,33,26,18,26,43,33
" "," ","20-24 years",25,27,8,14,8,9,17,19,21,17,21,22,15,18,17,19,28,25,18,38,30,32,26,65,62
" "," ","25-29 years",32,24,24,25,23,25,27,34,44,33,32,45,34,52,29,33,33,36,30,30,40,32,43,49,60
" "," ","30-34 years",11,14,17,11,19,14,18,17,16,9,17,16,25,32,26,27,24,22,30,26,26,23,21,26,40
" "," ","35-39 years",8,11,8,4,13,7,10,10,17,12,14,15,16,22,22,18,26,20,18,16,20,19,19,21,20
" "," ","40-44 years",8,5,9,8,8,5,8,9,5,8,5,9,19,13,20,23,22,26,13,11,11,10,9,20,14
" "," ","45-49 years",7,1,2,3,4,9,2,8,4,4,10,7,10,12,11,14,8,12,8,15,9,6,7,15,16
" "," ","50-54 years",4,1,1,3,4,3,3,8,0,2,6,9,9,9,10,6,8,8,7,6,9,8,9,16,11
" "," ","55-59 years",2,2,1,2,0,1,0,3,2,1,4,9,9,5,6,7,9,8,3,9,6,7,4,6,16
" "," ","60-64 years",4,0,1,1,0,2,3,0,1,4,3,2,2,4,4,2,5,10,12,7,10,9,8,13,7
" "," ","65-69 years",1,2,0,2,2,0,1,1,2,2,0,3,1,3,2,0,3,7,4,5,4,3,5,8,6
" "," ","70-74 years",0,1,1,0,1,1,2,0,1,3,1,1,0,3,2,2,1,1,2,1,5,1,4,6,1
" "," ","75 years and over",0,0,0,0,2,1,1,1,0,0,0,3,0,1,1,1,0,2,2,0,0,3,1,3,4
" ","Tauranga City","0-4 years",42,29,46,47,47,49,39,28,40,31,35,64,68,45,55,60,62,68,72,40,46,50,50,81,83
" "," ","5-9 years",27,25,21,23,40,35,39,34,38,29,27,43,63,54,40,52,43,53,53,37,43,49,57,42,62
" "," ","10-14 years",18,24,32,17,43,29,37,24,30,26,30,38,52,41,39,65,48,49,55,40,50,35,39,53,60
" "," ","15-19 years",33,47,36,40,43,48,37,31,28,39,68,66,57,82,47,55,47,68,104,130,107,105,97,127,106
" "," ","20-24 years",78,77,64,64,56,46,48,61,56,53,75,85,73,60,76,68,94,84,110,104,126,98,117,172,173
" "," ","25-29 years",119,104,94,104,106,123,112,92,119,111,119,132,128,128,116,123,122,112,145,125,119,102,122,149,172
" "," ","30-34 years",60,50,53,59,87,87,69,55,67,57,61,96,104,112,108,96,102,95,87,65,67,74,97,75,119
" "," ","35-39 years",31,31,41,41,64,50,43,40,30,49,55,87,85,61,73,74,68,80,74,55,47,43,57,61,60
" "," ","40-44 years",26,16,29,37,35,37,42,27,40,27,42,46,68,50,39,71,43,49,67,53,61,48,46,57,50
" "," ","45-49 years",11,14,26,32,35,30,18,21,26,38,29,40,29,40,36,42,35,48,52,37,33,27,34,31,53
" "," ","50-54 years",15,15,13,14,10,13,18,16,17,26,25,22,28,19,33,24,26,33,34,25,27,30,28,29,35
" "," ","55-59 years",14,10,7,6,12,9,8,11,19,21,20,18,30,22,22,15,24,18,30,29,28,26,32,41,45
" "," ","60-64 years",5,4,3,5,3,5,10,6,8,13,11,20,17,12,17,16,12,14,23,24,27,23,14,32,34
" "," ","65-69 years",2,3,2,2,5,3,5,5,0,8,7,7,12,13,9,7,14,12,16,12,15,21,31,20,34
" "," ","70-74 years",4,3,6,4,4,2,6,6,6,3,4,3,4,6,5,6,2,1,5,10,5,11,8,14,12
" "," ","75 years and over",4,3,7,4,6,5,2,3,1,5,2,4,5,5,5,4,5,7,6,10,9,8,7,10,9
" ","Rotorua District","0-4 years",18,25,35,35,45,33,20,25,21,21,26,31,26,25,37,22,30,44,34,17,25,39,33,33,47
" "," ","5-9 years",22,14,27,22,39,18,33,18,29,24,26,28,30,26,34,23,27,31,23,17,18,16,32,30,38
" "," ","10-14 years",17,10,21,22,23,32,20,14,25,7,29,22,20,29,28,36,38,33,28,24,19,20,15,30,32
" "," ","15-19 years",15,26,22,25,40,31,23,25,17,47,60,69,62,35,38,56,57,67,89,99,65,47,70,76,66
" "," ","20-24 years",56,41,53,59,48,39,38,28,38,34,47,76,50,37,38,46,59,69,103,113,101,101,104,130,167
" "," ","25-29 years",69,53,60,77,82,62,64,48,51,58,76,76,78,68,69,83,54,75,60,71,93,83,87,139,155
" "," ","30-34 years",48,33,48,49,48,51,40,35,40,40,43,41,41,62,41,46,57,45,52,36,45,48,43,60,100
" "," ","35-39 years",20,20,34,24,35,32,17,22,24,30,41,32,36,38,39,26,48,28,34,32,29,35,25,54,65
" "," ","40-44 years",21,10,27,14,25,23,23,24,19,17,21,26,28,20,30,34,31,33,28,22,22,16,19,32,33
" "," ","45-49 years",13,10,7,15,16,17,17,13,14,12,19,14,17,13,14,25,21,16,16,7,21,17,9,19,23
" "," ","50-54 years",5,10,9,13,10,11,11,6,10,12,10,9,13,16,14,11,14,15,12,11,7,11,4,16,15
" "," ","55-59 years",4,9,5,5,5,7,7,9,3,8,12,7,13,8,15,17,12,7,9,10,10,10,6,10,12
" "," ","60-64 years",2,4,8,3,2,7,7,4,3,3,6,5,3,9,7,5,7,10,7,9,5,8,5,6,8
" "," ","65-69 years",2,1,2,2,3,5,3,4,0,1,6,1,7,8,3,3,5,4,10,4,9,7,7,9,8
" "," ","70-74 years",4,0,1,0,2,1,1,1,1,1,2,2,1,4,5,6,2,1,3,2,1,3,6,5,6
" "," ","75 years and over",4,3,1,4,1,2,1,1,3,0,2,1,2,5,2,4,0,1,5,2,2,4,4,2,2
" ","Whakatane District","0-4 years",14,7,10,16,14,8,9,6,6,8,10,8,8,17,9,5,10,7,12,11,13,16,12,13,25
" "," ","5-9 years",11,4,7,13,11,17,3,9,7,5,8,10,15,9,10,9,13,11,9,10,13,8,11,12,17
" "," ","10-14 years",10,10,5,9,5,4,3,5,7,7,4,10,14,6,13,14,11,7,8,8,2,4,9,6,10
" "," ","15-19 years",8,5,9,17,16,13,9,6,8,5,11,11,9,6,10,10,17,16,18,14,12,7,15,14,14
" "," ","20-24 years",25,21,15,16,14,13,14,11,18,11,22,13,10,8,10,15,12,24,15,14,12,13,23,20,34
" "," ","25-29 years",34,40,28,20,35,28,23,27,24,30,36,31,40,26,34,22,23,16,34,28,22,16,18,24,29
" "," ","30-34 years",12,18,14,20,22,21,15,11,8,14,19,23,24,26,16,16,13,18,19,17,14,17,18,16,17
" "," ","35-39 years",9,13,12,11,9,15,11,6,12,9,13,13,14,21,16,14,18,21,12,13,7,11,8,13,20
" "," ","40-44 years",2,4,8,8,7,9,9,12,6,6,11,13,9,15,16,13,11,12,8,12,6,8,7,12,10
" "," ","45-49 years",3,6,5,8,6,7,10,3,6,3,4,11,13,8,7,7,12,8,8,5,8,7,7,5,6
" "," ","50-54 years",3,4,3,7,3,7,6,0,0,1,7,4,5,2,2,8,7,5,10,6,5,5,6,7,9
" "," ","55-59 years",3,1,2,3,3,2,1,1,0,2,4,1,3,6,1,7,6,4,9,5,3,5,3,10,9
" "," ","60-64 years",5,2,5,2,2,1,2,2,2,2,2,6,4,4,2,9,2,9,6,1,8,4,5,3,9
" "," ","65-69 years",0,0,0,0,2,3,1,1,1,2,0,0,1,1,1,0,1,1,5,3,4,5,5,3,4
" "," ","70-74 years",1,0,0,1,2,2,1,2,1,0,2,0,1,0,2,0,0,0,1,0,1,0,0,4,0
" "," ","75 years and over",0,0,0,1,1,0,1,0,1,0,0,0,1,2,0,1,1,2,0,0,1,0,0,1,0
" ","Kawerau District","0-4 years",4,1,5,1,3,1,1,3,0,1,2,1,3,1,2,3,3,2,3,2,0,3,3,3,2
" "," ","5-9 years",3,1,2,3,4,5,1,3,0,2,4,1,0,0,2,5,4,2,4,0,1,3,0,5,1
" "," ","10-14 years",2,1,2,4,4,5,4,1,3,0,4,1,1,3,1,0,2,1,1,0,0,2,2,3,1
" "," ","15-19 years",2,1,1,3,0,2,5,1,1,2,2,0,2,1,1,2,3,2,3,1,0,1,1,2,3
" "," ","20-24 years",5,2,10,5,4,4,2,1,4,2,4,3,1,3,3,4,2,2,1,5,1,1,1,7,2
" "," ","25-29 years",6,7,3,5,4,5,7,9,4,5,4,5,5,1,2,2,2,1,3,1,4,0,3,2,2
" "," ","30-34 years",6,4,5,3,6,9,6,4,4,4,1,6,2,3,2,3,2,2,0,1,2,1,4,6,2
" "," ","35-39 years",1,3,3,5,6,2,2,2,1,1,1,3,2,0,5,1,4,5,2,1,2,1,1,0,2
" "," ","40-44 years",0,0,1,1,0,3,3,1,2,0,2,1,0,4,2,2,2,4,0,2,0,4,1,2,1
" "," ","45-49 years",0,3,0,1,5,1,0,0,0,0,1,1,1,2,2,1,3,2,2,1,0,1,1,1,3
" "," ","50-54 years",0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1,4,2,2,1,0,4,1
" "," ","55-59 years",0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,2,0,1,1,2
" "," ","60-64 years",0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,1,2,0,1,0,2,3,1
" "," ","65-69 years",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,0,1,0
" "," ","70-74 years",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Opotiki District","0-4 years",1,5,4,1,2,1,1,1,3,0,0,1,3,1,0,2,1,1,4,2,1,5,2,2,8
" "," ","5-9 years",0,3,1,4,2,0,0,0,4,1,1,2,6,3,2,1,1,0,1,2,3,1,2,0,4
" "," ","10-14 years",0,0,0,3,0,0,1,3,1,2,0,4,5,4,3,2,2,2,1,2,1,2,0,1,3
" "," ","15-19 years",3,5,1,1,2,2,1,1,4,1,0,2,4,2,1,2,3,4,2,1,3,2,3,2,3
" "," ","20-24 years",6,7,4,1,4,4,3,3,3,3,3,6,5,2,3,4,3,8,2,5,4,6,0,3,2
" "," ","25-29 years",2,6,3,4,9,5,5,2,5,3,8,6,5,2,6,7,5,5,4,2,8,5,5,8,11
" "," ","30-34 years",4,3,1,1,3,0,5,5,1,2,4,2,2,5,1,4,3,2,5,6,1,0,3,4,6
" "," ","35-39 years",2,1,1,2,1,2,2,3,4,1,1,2,1,2,3,2,1,4,5,8,2,6,4,4,1
" "," ","40-44 years",2,1,2,1,0,1,2,1,4,0,0,0,3,0,0,2,1,1,1,3,3,1,2,0,2
" "," ","45-49 years",2,3,3,3,2,2,1,1,1,1,2,0,4,1,1,0,2,3,5,0,1,2,1,1,3
" "," ","50-54 years",1,0,0,0,0,0,2,0,4,1,0,1,0,1,0,1,0,1,2,3,0,0,0,1,1
" "," ","55-59 years",3,0,0,0,0,0,0,0,1,1,1,0,1,2,2,0,1,0,1,0,1,1,0,2,5
" "," ","60-64 years",0,2,0,0,1,0,1,0,2,0,0,0,2,0,0,0,1,0,0,1,0,1,2,2,0
" "," ","65-69 years",0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,1,1,0,0,3,2
" "," ","70-74 years",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
" ","Gisborne District","0-4 years",16,8,19,16,13,10,9,7,7,8,12,12,16,9,13,10,14,16,16,10,15,21,21,16,18
" "," ","5-9 years",10,6,10,9,8,6,11,13,6,11,8,4,16,16,11,9,11,15,7,6,16,22,5,13,16
" "," ","10-14 years",6,7,2,11,6,5,12,13,7,4,7,17,18,8,15,10,13,16,12,10,7,7,9,18,15
" "," ","15-19 years",15,13,10,9,22,20,15,10,12,14,8,18,25,19,26,18,20,12,21,16,18,5,19,15,11
" "," ","20-24 years",27,34,15,22,26,28,23,19,24,22,23,38,22,20,16,21,12,17,25,22,12,21,30,25,27
" "," ","25-29 years",55,39,42,34,31,31,40,28,48,21,26,38,38,31,35,30,30,25,43,18,21,29,22,35,31
" "," ","30-34 years",20,24,17,22,18,30,20,14,14,20,19,19,22,25,32,22,25,21,27,16,16,27,19,22,19
" "," ","35-39 years",20,14,6,11,13,15,15,10,17,11,11,17,18,13,20,14,13,17,19,11,18,14,16,12,20
" "," ","40-44 years",9,7,10,7,10,11,7,12,8,4,8,4,11,14,26,15,9,14,10,10,13,15,9,14,17
" "," ","45-49 years",4,6,6,1,4,5,5,11,2,7,4,9,9,8,10,5,13,14,8,9,10,5,10,8,15
" "," ","50-54 years",1,4,2,5,3,8,2,2,4,0,3,4,12,8,6,10,8,9,9,5,3,10,10,10,4
" "," ","55-59 years",2,3,1,4,3,1,1,3,3,5,3,4,7,4,3,9,11,2,4,7,8,7,6,15,12
" "," ","60-64 years",0,3,1,1,0,0,1,3,1,0,0,4,2,4,2,5,4,4,3,5,8,7,6,11,10
" "," ","65-69 years",0,1,0,0,2,0,0,1,2,0,1,3,0,2,1,3,1,3,4,4,7,1,6,2,10
" "," ","70-74 years",0,0,0,1,1,1,1,0,0,0,2,0,0,1,0,0,0,1,4,1,2,1,1,1,1
" "," ","75 years and over",1,1,0,0,1,0,0,0,0,0,0,0,3,2,1,0,1,0,1,0,1,1,2,2,0
" ","Wairoa District","0-4 years",1,1,2,4,1,2,4,3,4,2,2,3,1,2,4,1,4,4,4,1,4,4,3,2,3
" "," ","5-9 years",1,1,0,2,1,1,3,0,1,1,0,0,2,3,4,1,0,0,2,1,2,2,1,2,5
" "," ","10-14 years",0,1,2,5,1,1,0,1,1,2,2,1,3,0,0,2,1,1,3,2,2,1,0,0,4
" "," ","15-19 years",3,4,3,1,2,2,0,1,1,0,0,1,0,1,2,2,2,2,8,2,1,1,1,1,2
" "," ","20-24 years",4,3,2,3,2,7,2,5,2,1,4,5,3,4,4,5,4,5,3,4,1,1,1,4,4
" "," ","25-29 years",5,6,3,6,1,4,9,7,7,6,3,5,6,3,3,5,5,3,3,1,4,4,3,2,6
