"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Departures","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","10-14 years",13,9,10,1,7,9,7,10,12,12,12,10,8,4,18,16,15,17,8,15,19,13,12,3,8
" "," ","15-19 years",13,16,12,9,21,17,16,19,20,18,15,20,16,15,24,20,16,24,12,23,42,25,17,14,16
" "," ","20-24 years",43,26,28,22,35,25,37,35,49,30,25,23,29,37,34,33,23,28,20,27,35,38,27,21,23
" "," ","25-29 years",23,27,15,18,19,34,18,23,28,26,28,20,25,27,26,23,26,25,21,17,22,38,21,10,6
" "," ","30-34 years",17,9,9,13,11,12,12,18,17,15,22,13,8,11,16,17,10,25,3,7,11,18,11,7,9
" "," ","35-39 years",13,6,2,7,10,8,7,14,16,9,12,9,5,12,11,6,10,12,12,10,8,9,8,3,5
" "," ","40-44 years",16,6,0,1,6,8,5,13,5,8,8,8,7,9,7,9,13,14,8,9,7,10,5,3,5
" "," ","45-49 years",10,2,5,2,1,1,3,6,4,5,4,1,5,7,8,8,5,19,1,5,11,7,3,2,4
" "," ","50-54 years",8,1,4,5,3,4,5,5,7,3,2,0,4,5,4,2,3,6,5,3,3,4,6,0,0
" "," ","55-59 years",2,2,2,0,3,1,4,5,0,1,0,3,2,1,8,4,2,6,1,0,3,5,4,5,1
" "," ","60-64 years",1,1,2,1,0,0,1,3,2,2,0,0,2,3,3,2,4,0,2,2,3,4,2,1,1
" "," ","65-69 years",3,1,3,1,0,3,1,3,3,1,0,2,0,2,1,1,1,3,0,1,0,1,1,0,1
" "," ","70-74 years",2,0,0,1,0,0,2,2,0,0,1,1,0,3,1,1,0,0,0,2,0,0,0,1,0
" "," ","75 years and over",0,0,0,0,0,0,2,0,1,1,0,2,1,2,2,2,0,1,0,0,0,0,1,0,1
" ","Waitomo District","0-4 years",2,1,3,2,2,4,3,1,3,2,1,1,2,3,1,14,4,8,3,3,6,10,2,5,1
" "," ","5-9 years",1,2,3,1,1,4,5,1,3,6,0,3,1,0,2,3,6,3,1,3,3,3,1,1,0
" "," ","10-14 years",2,3,1,1,2,2,3,0,5,7,1,3,2,1,2,5,5,3,6,2,1,7,1,1,0
" "," ","15-19 years",5,5,8,7,7,3,7,5,5,9,6,6,3,4,4,7,8,5,9,8,9,9,6,7,5
" "," ","20-24 years",18,10,8,11,11,9,7,17,11,10,15,9,10,12,16,16,13,11,10,10,13,18,14,10,4
" "," ","25-29 years",10,4,7,8,8,6,6,7,10,16,12,7,7,13,12,15,11,11,3,6,10,11,11,5,8
" "," ","30-34 years",2,4,7,4,4,3,4,4,4,8,4,2,1,2,4,10,9,4,5,5,3,5,3,2,1
" "," ","35-39 years",1,0,0,0,1,3,2,1,4,1,1,4,4,0,1,5,1,6,4,4,3,3,3,2,1
" "," ","40-44 years",2,3,2,3,2,3,0,1,2,7,2,2,1,2,0,6,6,0,2,2,4,7,3,0,1
" "," ","45-49 years",1,0,0,0,1,0,0,0,3,0,2,0,2,0,0,0,1,6,1,3,4,4,0,0,0
" "," ","50-54 years",0,1,0,0,2,2,2,1,2,0,2,1,1,1,3,1,2,0,0,4,2,2,0,0,1
" "," ","55-59 years",0,0,0,0,1,1,0,0,3,2,1,0,0,0,1,2,2,2,1,0,1,2,0,0,1
" "," ","60-64 years",0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
" "," ","65-69 years",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
" "," ","70-74 years",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Taupo District","0-4 years",7,13,8,14,6,15,12,13,12,13,16,13,4,14,20,12,18,22,24,17,24,18,11,6,15
" "," ","5-9 years",3,9,5,7,8,14,13,13,16,20,15,6,5,13,16,11,16,20,16,9,14,29,16,13,8
" "," ","10-14 years",0,8,4,6,16,11,6,7,8,12,19,3,9,19,14,14,18,14,10,13,22,18,5,6,9
" "," ","15-19 years",12,10,13,17,18,16,18,22,21,24,23,20,12,32,12,14,29,39,20,28,29,38,26,14,13
" "," ","20-24 years",28,41,28,41,50,46,51,56,40,66,38,43,37,35,45,37,49,55,51,44,52,66,45,25,35
" "," ","25-29 years",18,31,21,38,34,34,47,43,56,56,53,34,35,40,39,24,51,43,38,36,43,36,42,42,34
" "," ","30-34 years",16,12,14,16,14,22,16,23,20,15,18,15,13,14,33,18,19,31,18,17,25,17,16,11,14
" "," ","35-39 years",8,7,10,8,11,11,14,12,25,19,9,15,5,16,12,12,30,30,9,12,17,15,15,13,8
" "," ","40-44 years",4,5,5,6,8,6,13,11,17,19,12,10,7,7,10,14,18,18,6,12,18,16,18,4,8
" "," ","45-49 years",3,9,6,8,8,9,11,8,14,10,2,7,5,12,10,9,25,18,10,10,16,17,12,7,5
" "," ","50-54 years",5,3,4,3,5,10,7,7,8,15,12,8,7,6,10,5,7,10,6,9,15,15,8,3,10
" "," ","55-59 years",4,0,2,2,2,2,2,3,3,8,4,3,6,6,8,13,10,12,2,9,11,6,5,4,1
" "," ","60-64 years",0,0,2,2,3,6,2,2,4,3,1,3,2,2,4,7,1,5,2,5,4,2,2,4,1
" "," ","65-69 years",0,1,1,1,4,2,3,0,1,0,0,2,0,0,4,1,0,2,1,3,3,2,1,4,1
" "," ","70-74 years",0,1,1,1,1,1,0,0,1,1,2,2,0,0,0,0,0,1,1,0,0,1,0,1,1
" "," ","75 years and over",0,2,0,0,0,2,0,1,2,1,2,0,2,1,0,1,3,0,0,0,2,0,2,1,0
" ","Western Bay of Plenty District","0-4 years",4,10,8,13,15,11,15,7,12,26,16,13,13,12,17,18,12,25,9,19,36,26,20,16,15
" "," ","5-9 years",8,4,4,8,7,9,11,16,15,19,12,10,13,11,13,12,20,14,10,12,23,12,11,10,9
" "," ","10-14 years",7,12,6,10,11,4,6,20,15,13,8,8,9,7,12,25,14,10,10,16,21,17,13,6,9
" "," ","15-19 years",11,9,15,14,19,6,17,24,20,26,17,13,18,19,27,27,25,41,21,25,41,29,32,14,20
" "," ","20-24 years",36,27,33,30,34,42,42,49,53,54,37,51,31,57,38,41,86,52,67,67,87,100,76,55,64
" "," ","25-29 years",23,17,18,24,30,25,26,32,38,41,44,45,39,42,41,35,60,55,39,59,59,56,58,49,54
" "," ","30-34 years",11,13,12,18,22,15,16,19,17,25,23,18,21,14,21,21,31,31,24,26,41,24,24,26,29
" "," ","35-39 years",8,13,9,10,8,8,8,21,13,11,12,10,9,19,15,18,15,25,20,17,12,14,10,11,8
" "," ","40-44 years",7,8,5,4,15,8,4,13,12,15,8,11,10,19,15,15,17,22,17,20,16,18,11,4,5
" "," ","45-49 years",4,1,3,7,5,4,6,14,16,13,8,5,10,5,7,16,14,26,13,20,13,23,16,9,5
" "," ","50-54 years",3,6,8,5,1,4,3,2,9,9,9,9,8,6,4,14,10,16,4,11,18,20,6,7,4
" "," ","55-59 years",2,0,3,2,7,2,2,3,5,2,8,7,1,10,4,8,14,11,11,11,10,9,10,3,6
" "," ","60-64 years",0,1,0,2,1,4,2,3,2,1,1,2,0,4,5,3,10,5,3,13,9,4,4,7,2
" "," ","65-69 years",0,1,1,2,0,3,4,4,4,1,2,2,0,3,5,0,1,2,3,0,5,7,1,4,2
" "," ","70-74 years",1,0,1,1,5,3,1,1,3,2,0,1,1,0,0,1,3,1,2,0,0,1,1,2,1
" "," ","75 years and over",0,2,0,0,1,1,2,1,0,1,2,1,0,0,3,1,0,1,0,2,0,2,1,2,1
" ","Tauranga City","0-4 years",17,32,22,13,24,23,36,31,47,52,52,25,30,41,56,55,69,63,52,75,87,91,54,40,33
" "," ","5-9 years",25,20,17,19,18,20,27,40,38,59,32,25,33,34,52,39,46,54,35,52,74,54,50,32,38
" "," ","10-14 years",18,19,21,12,19,30,23,40,40,34,44,29,32,44,50,40,41,62,43,67,83,75,44,29,26
" "," ","15-19 years",47,37,48,36,36,54,46,56,74,77,65,57,61,70,79,73,95,94,68,96,111,93,96,64,53
" "," ","20-24 years",120,110,117,138,117,147,130,151,185,185,204,128,146,138,157,157,204,245,142,197,243,247,199,144,131
" "," ","25-29 years",78,90,84,91,95,111,113,149,157,157,170,147,128,129,156,142,167,228,114,180,230,173,156,123,129
" "," ","30-34 years",41,47,45,44,29,40,68,92,81,86,101,66,79,85,75,69,63,90,82,77,104,81,79,74,50
" "," ","35-39 years",25,24,30,26,26,37,34,44,53,71,59,49,41,45,70,51,75,80,46,71,66,79,55,25,25
" "," ","40-44 years",26,21,22,21,17,27,26,42,56,55,46,37,51,45,44,46,65,64,47,52,62,78,42,38,21
" "," ","45-49 years",14,17,16,22,23,17,23,26,35,51,43,25,33,35,30,56,59,67,37,56,65,52,39,27,25
" "," ","50-54 years",14,10,14,13,11,22,22,29,28,36,35,29,30,22,39,34,45,49,32,56,50,61,31,25,23
" "," ","55-59 years",7,6,7,19,13,14,14,14,23,21,29,29,17,23,25,50,28,32,27,23,39,43,30,21,10
" "," ","60-64 years",3,8,5,4,5,3,16,8,14,12,10,12,9,9,18,11,13,25,17,12,20,28,19,8,13
" "," ","65-69 years",13,7,3,14,8,10,17,8,12,11,6,4,13,10,7,10,7,4,5,7,10,9,10,11,6
" "," ","70-74 years",1,3,2,5,5,11,8,10,9,8,6,1,1,3,4,3,3,3,2,3,8,2,3,5,6
" "," ","75 years and over",2,3,7,4,9,12,12,1,7,2,3,9,0,3,5,0,3,3,2,3,6,3,2,5,2
" ","Rotorua District","0-4 years",20,25,18,37,22,24,34,38,59,34,29,19,34,30,47,54,54,50,38,32,50,53,28,33,39
" "," ","5-9 years",10,22,31,25,28,20,26,39,52,49,25,25,19,44,44,41,40,53,24,26,43,52,35,28,23
" "," ","10-14 years",15,17,16,17,17,24,24,33,34,31,16,14,20,42,48,54,51,53,39,58,33,48,38,22,37
" "," ","15-19 years",34,47,43,36,39,47,41,44,72,48,44,43,54,53,72,71,81,98,76,50,72,80,70,49,43
" "," ","20-24 years",86,86,83,94,76,92,82,103,75,112,81,86,81,104,101,87,94,128,80,89,112,139,96,66,92
" "," ","25-29 years",59,48,59,54,71,73,75,105,105,95,79,76,79,75,94,88,83,91,69,58,75,80,80,59,64
" "," ","30-34 years",26,36,26,36,33,34,44,49,67,57,45,31,41,45,55,60,53,62,41,47,40,58,32,26,23
" "," ","35-39 years",27,28,25,28,18,27,24,50,52,56,40,30,22,36,48,36,39,55,38,30,51,49,26,18,37
" "," ","40-44 years",16,18,18,14,15,20,26,36,25,22,16,20,15,33,46,27,42,35,23,37,35,25,31,20,12
" "," ","45-49 years",9,6,12,12,19,10,11,22,18,19,14,18,14,12,29,25,32,39,19,33,25,28,27,20,11
" "," ","50-54 years",4,10,10,9,9,13,15,19,14,11,16,13,17,16,16,22,24,24,20,17,24,25,19,15,12
" "," ","55-59 years",9,7,11,5,7,11,9,8,9,7,9,4,4,12,20,17,10,15,9,15,22,14,15,11,12
" "," ","60-64 years",0,4,1,3,4,4,7,7,7,4,5,3,8,3,10,7,11,10,3,7,6,10,5,5,7
" "," ","65-69 years",1,4,2,6,3,5,6,4,9,4,4,6,4,1,1,1,4,3,3,3,3,2,5,1,4
" "," ","70-74 years",2,2,1,2,2,2,2,2,3,4,2,3,2,2,4,1,0,1,3,1,1,2,1,1,4
" "," ","75 years and over",2,1,2,3,6,1,0,2,5,2,1,3,3,1,2,0,5,2,2,3,2,2,1,1,0
" ","Whakatane District","0-4 years",15,9,5,6,6,7,5,21,11,16,3,5,7,22,19,18,22,18,20,13,21,23,10,14,9
" "," ","5-9 years",7,3,2,3,5,11,12,17,10,14,7,5,11,13,21,14,16,18,13,8,20,28,21,15,8
" "," ","10-14 years",2,9,4,4,8,5,9,4,15,13,11,5,10,13,15,17,20,33,12,9,13,23,11,13,7
" "," ","15-19 years",12,13,20,22,15,15,15,21,23,27,25,17,27,27,24,28,32,57,27,34,35,44,34,23,13
" "," ","20-24 years",39,42,22,37,34,24,34,48,36,61,54,30,39,35,56,43,48,79,34,57,67,74,56,34,34
" "," ","25-29 years",26,25,16,16,23,32,22,52,45,41,36,35,31,35,41,28,30,52,27,34,48,35,27,19,23
" "," ","30-34 years",11,5,10,9,11,11,8,21,21,21,17,18,13,25,24,13,22,23,15,18,17,22,14,13,9
" "," ","35-39 years",9,10,1,7,6,7,13,12,15,20,13,5,10,16,11,7,16,21,8,8,20,15,12,12,3
" "," ","40-44 years",6,11,4,5,14,5,7,18,16,13,12,7,10,9,14,13,15,26,5,10,9,10,12,5,5
" "," ","45-49 years",5,2,4,4,11,5,8,11,3,6,6,3,6,5,6,12,18,18,8,11,14,15,10,8,5
" "," ","50-54 years",8,8,3,3,4,1,3,8,5,10,6,4,4,5,7,8,18,18,6,9,15,15,10,2,4
" "," ","55-59 years",1,1,0,2,2,1,6,4,6,5,5,3,8,5,5,7,11,8,3,6,9,10,4,4,2
" "," ","60-64 years",0,0,0,0,2,4,4,4,1,1,3,1,4,4,4,5,3,3,2,5,5,4,3,5,1
" "," ","65-69 years",3,4,1,3,0,1,0,2,0,5,2,0,1,1,1,0,0,1,1,1,3,3,0,1,3
" "," ","70-74 years",0,3,2,2,0,1,1,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1
" "," ","75 years and over",1,0,1,1,1,1,0,2,1,0,1,3,1,1,0,0,1,1,0,0,1,0,0,1,1
" ","Kawerau District","0-4 years",1,6,2,1,4,1,5,9,8,3,2,3,5,2,4,4,3,8,1,2,3,10,5,3,3
" "," ","5-9 years",1,2,5,3,5,1,1,7,9,1,3,3,5,5,5,7,4,10,2,3,4,1,3,4,4
" "," ","10-14 years",2,0,2,3,5,1,3,6,1,4,2,0,2,2,7,8,11,6,6,1,4,2,7,1,7
" "," ","15-19 years",5,7,5,9,5,6,3,5,13,6,6,4,5,7,10,7,13,15,7,5,8,12,13,5,5
" "," ","20-24 years",7,15,16,7,16,7,5,11,12,9,7,6,8,7,8,10,9,7,6,5,10,7,6,10,5
" "," ","25-29 years",6,5,4,6,6,4,6,12,12,2,3,10,7,9,3,5,9,7,5,7,5,7,7,5,2
" "," ","30-34 years",4,2,2,2,5,3,4,8,10,4,3,2,4,5,3,4,4,3,1,2,4,5,3,2,6
" "," ","35-39 years",0,1,2,3,7,0,1,6,7,4,4,2,1,5,7,4,4,5,1,2,1,2,0,2,0
" "," ","40-44 years",1,2,1,1,0,2,4,5,3,3,1,0,4,1,3,5,2,5,2,2,5,2,4,2,1
" "," ","45-49 years",0,0,0,0,2,1,1,4,1,1,0,2,1,1,4,1,2,6,2,4,1,2,1,3,0
" "," ","50-54 years",1,0,3,0,1,1,1,1,2,0,1,0,1,2,0,3,1,4,0,1,0,5,5,0,2
" "," ","55-59 years",0,1,0,0,1,0,0,0,0,0,2,2,0,2,1,2,3,1,2,2,1,2,2,1,3
" "," ","60-64 years",0,0,1,0,0,1,2,0,1,0,0,0,0,1,0,2,2,0,0,1,1,0,0,0,2
" "," ","65-69 years",0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0
" "," ","70-74 years",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" "," ","75 years and over",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
" ","Opotiki District","0-4 years",1,5,2,3,3,4,2,3,3,5,4,4,2,3,2,5,4,4,7,8,7,5,6,7,2
" "," ","5-9 years",3,3,0,2,1,2,6,0,3,7,5,2,2,8,4,3,1,5,4,4,2,6,1,3,1
" "," ","10-14 years",4,0,2,3,2,1,2,1,3,6,4,3,1,4,2,2,7,3,3,5,7,6,5,6,2
" "," ","15-19 years",3,2,5,2,2,1,4,6,6,4,4,7,10,6,12,14,7,17,10,8,8,15,9,11,7
" "," ","20-24 years",6,4,6,4,9,5,4,9,5,13,12,12,7,8,11,9,7,14,3,6,10,22,22,10,7
" "," ","25-29 years",2,6,4,6,3,4,7,8,5,8,6,3,7,7,9,7,10,12,5,9,6,11,19,6,7
" "," ","30-34 years",2,3,0,2,3,2,4,2,4,2,4,5,4,4,3,4,4,3,1,4,4,4,3,5,4
" "," ","35-39 years",2,1,3,0,3,3,5,1,3,3,1,5,3,2,4,4,1,4,1,4,5,4,7,3,1
" "," ","40-44 years",0,0,1,1,1,0,3,2,2,5,2,1,1,3,4,6,3,3,3,3,3,4,0,1,1
" "," ","45-49 years",0,0,1,0,1,1,2,2,0,3,1,0,4,0,3,4,4,4,5,2,3,4,2,4,2
" "," ","50-54 years",2,0,1,0,1,0,0,2,0,2,2,1,1,1,2,2,1,5,2,1,5,9,3,4,2
" "," ","55-59 years",1,0,0,2,0,0,0,0,0,0,1,3,0,0,1,1,1,4,0,0,2,3,2,1,1
" "," ","60-64 years",0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,1,1,1,1,3,1,1,1
" "," ","65-69 years",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
" "," ","70-74 years",0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" ","Gisborne District","0-4 years",4,15,7,10,19,17,12,16,16,20,19,17,10,21,17,26,21,24,20,11,28,38,23,14,7
" "," ","5-9 years",4,5,8,11,9,15,12,24,15,18,21,14,6,17,18,21,15,36,21,18,20,29,21,13,10
" "," ","10-14 years",4,10,1,9,18,13,13,12,13,19,17,7,11,19,20,17,19,37,17,19,17,25,15,16,13
" "," ","15-19 years",20,11,20,13,16,15,27,13,32,33,35,21,18,24,42,34,47,46,28,35,35,40,27,24,31
" "," ","20-24 years",42,56,45,54,64,49,58,41,35,55,51,38,32,40,48,53,57,73,49,61,82,70,74,52,34
" "," ","25-29 years",33,31,28,30,35,45,38,39,37,73,62,46,43,39,42,36,50,71,37,49,60,89,36,45,45
" "," ","30-34 years",11,18,13,16,24,23,20,33,15,22,22,30,13,19,26,20,23,31,18,23,28,35,31,19,14
" "," ","35-39 years",7,10,13,9,10,17,18,20,17,17,24,15,9,15,15,17,15,25,14,20,23,29,19,8,7
" "," ","40-44 years",4,7,6,9,9,7,15,14,17,16,14,13,8,9,19,17,11,22,7,12,18,27,14,11,7
" "," ","45-49 years",3,4,2,5,5,7,10,12,8,13,17,10,4,6,12,13,19,19,7,17,15,10,9,8,11
" "," ","50-54 years",2,0,4,1,1,12,5,4,3,8,10,7,9,11,11,7,19,20,4,18,12,12,3,6,3
" "," ","55-59 years",0,0,4,0,3,5,5,4,2,2,4,5,3,5,10,4,11,18,9,7,15,19,14,5,5
" "," ","60-64 years",0,1,0,2,3,2,1,3,1,1,4,0,2,3,4,3,4,8,6,3,7,7,5,1,1
" "," ","65-69 years",2,0,2,1,1,0,1,0,2,0,1,1,1,1,0,2,0,2,4,0,0,3,2,3,2
" "," ","70-74 years",2,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,3,0,1,0,2,0,0,2
" "," ","75 years and over",1,0,0,0,0,0,1,4,2,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0
" ","Wairoa District","0-4 years",4,0,0,4,3,2,3,4,1,8,4,0,8,1,3,6,3,3,2,4,3,5,7,5,7
" "," ","5-9 years",1,1,0,0,1,3,0,3,1,5,1,0,1,5,3,2,6,4,1,1,6,9,4,3,3
" "," ","10-14 years",1,1,0,2,3,4,1,2,3,1,2,0,2,2,2,3,4,1,1,3,4,9,5,6,0
" "," ","15-19 years",4,1,5,6,8,4,0,1,6,4,4,5,0,3,5,6,10,9,4,5,8,8,8,7,5
" "," ","20-24 years",5,8,5,6,11,7,16,3,10,9,4,9,3,9,10,8,16,16,2,7,8,13,6,9,3
" "," ","25-29 years",6,3,4,8,8,6,5,5,9,8,10,5,9,1,7,3,1,5,2,5,11,6,0,8,5
" "," ","30-34 years",3,1,1,4,3,5,1,2,3,2,1,4,1,4,3,3,8,4,2,1,7,7,1,2,3
" "," ","35-39 years",3,1,1,1,2,2,2,0,0,7,2,1,3,3,1,0,4,6,2,1,5,1,3,3,1
" "," ","40-44 years",0,0,1,3,0,0,0,2,7,5,0,3,2,2,3,0,5,4,1,3,4,4,1,2,1
" "," ","45-49 years",0,3,1,1,1,1,0,1,2,2,1,1,0,2,1,1,2,7,2,3,4,3,0,1,2
" "," ","50-54 years",0,1,0,0,1,0,1,1,3,2,1,0,1,0,0,1,2,1,2,0,2,6,0,1,1
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,2,0,1,0
" "," ","60-64 years",0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0
" "," ","65-69 years",0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1
" "," ","70-74 years",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
" "," ","75 years and over",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Hastings District","0-4 years",16,10,15,17,21,24,16,14,43,33,22,19,26,28,37,28,37,41,29,34,32,40,28,20,30
" "," ","5-9 years",19,11,11,16,16,24,21,21,35,33,28,24,19,23,20,27,28,41,27,21,31,29,27,20,18
" "," ","10-14 years",16,14,4,7,8,17,20,29,38,27,23,19,23,23,26,13,32,41,28,26,25,37,29,19,16
" "," ","15-19 years",26,29,25,44,34,40,35,40,38,48,54,33,46,40,54,41,55,79,40,45,63,78,63,48,27
" "," ","20-24 years",93,69,78,99,87,91,88,104,117,97,92,90,74,88,106,82,100,128,87,101,125,133,95,89,89
" "," ","25-29 years",54,52,50,49,62,80,66,93,102,104,89,76,75,79,85,82,89,87,62,77,94,96,90,74,71
" "," ","30-34 years",27,16,24,26,17,25,22,25,41,42,33,42,34,37,45,37,42,38,34,33,55,45,40,31,38
" "," ","35-39 years",17,17,11,13,18,14,20,30,30,37,35,17,22,19,29,31,28,48,31,33,23,35,16,7,24
" "," ","40-44 years",7,10,12,15,10,12,12,12,32,21,27,22,13,21,25,19,31,39,29,25,38,30,20,16,15
" "," ","45-49 years",6,10,8,10,6,10,12,16,19,10,18,13,8,13,28,21,22,37,25,18,25,28,23,9,17
" "," ","50-54 years",13,5,8,8,6,8,6,18,13,12,14,12,7,9,14,16,18,21,16,21,26,28,17,10,14
" "," ","55-59 years",5,3,5,2,3,4,6,11,10,16,14,7,6,9,11,12,12,15,12,16,17,12,12,7,5
" "," ","60-64 years",2,4,3,4,3,8,1,3,4,3,4,5,6,4,7,5,6,8,6,8,8,6,6,5,5
" "," ","65-69 years",2,1,4,5,2,1,3,2,2,1,3,2,1,2,3,6,2,2,4,4,4,9,4,2,4
" "," ","70-74 years",1,1,0,1,3,1,1,4,2,1,0,1,2,1,3,2,1,1,0,0,1,4,0,1,2
" "," ","75 years and over",0,1,0,1,0,1,2,4,0,2,1,0,2,0,3,1,3,1,0,1,2,0,0,1,3
" ","Napier City","0-4 years",13,11,25,18,23,22,23,16,35,23,16,15,26,23,24,22,25,31,18,25,34,24,23,6,16
" "," ","5-9 years",13,8,10,14,12,17,22,26,25,16,22,23,22,19,21,24,19,22,24,22,44,18,21,12,13
" "," ","10-14 years",17,14,11,14,14,23,20,19,21,11,19,22,14,22,15,18,23,22,18,12,38,16,19,13,11
" "," ","15-19 years",22,22,27,28,33,31,37,45,29,30,29,30,38,31,51,33,49,48,39,40,48,47,41,43,39
" "," ","20-24 years",90,81,78,107,95,90,96,108,117,109,79,74,76,81,98,83,91,130,84,67,85,89,81,74,56
" "," ","25-29 years",56,60,55,67,67,83,105,110,99,108,88,102,74,71,87,68,88,103,65,69,78,80,65,49,52
" "," ","30-34 years",19,26,26,40,30,36,43,47,44,51,59,49,37,36,28,30,57,47,33,29,49,46,26,18,33
" "," ","35-39 years",17,9,13,22,14,21,26,25,33,32,32,26,16,32,31,30,29,38,32,28,33,41,27,18,19
" "," ","40-44 years",13,13,10,8,18,12,17,21,28,29,13,17,17,15,18,23,27,34,21,21,32,24,16,15,12
" "," ","45-49 years",11,4,8,10,10,19,14,26,16,20,13,16,13,17,14,26,17,25,12,19,32,22,12,11,11
" "," ","50-54 years",8,9,9,4,9,2,12,11,18,18,19,7,12,8,14,14,11,23,15,20,20,24,13,11,14
" "," ","55-59 years",3,3,5,4,7,4,10,12,12,12,5,6,14,8,14,9,9,18,18,9,19,21,11,7,7
" "," ","60-64 years",5,3,2,3,3,3,6,3,4,9,2,7,5,6,3,9,11,15,12,7,11,6,6,5,7
" "," ","65-69 years",3,11,3,2,7,9,8,6,9,2,0,3,4,2,4,2,2,2,1,2,4,2,2,9,4
" "," ","70-74 years",2,2,3,3,3,1,2,6,3,2,3,4,2,0,2,2,2,0,2,3,3,1,0,2,0
" "," ","75 years and over",1,2,4,2,2,3,1,0,2,2,0,2,1,1,3,0,1,0,0,2,1,2,2,2,2
" ","Central Hawke's Bay District","0-4 years",3,2,2,3,3,11,5,4,0,4,1,11,3,3,3,3,2,11,2,4,11,6,7,1,4
" "," ","5-9 years",2,4,3,1,0,1,0,6,4,4,3,0,2,7,4,5,1,1,0,0,5,2,9,5,2
" "," ","10-14 years",5,1,1,1,3,2,1,2,2,3,1,2,1,3,3,0,1,8,0,0,3,3,4,2,3
" "," ","15-19 years",5,4,3,6,4,4,9,7,3,11,8,3,3,6,6,8,7,14,6,5,8,9,9,4,5
" "," ","20-24 years",17,17,18,22,35,25,14,29,23,27,25,21,13,24,22,32,17,22,20,13,18,19,11,15,16
" "," ","25-29 years",14,13,5,8,13,14,17,17,23,16,17,13,14,20,17,19,11,16,8,20,17,22,10,10,7
" "," ","30-34 years",7,3,0,3,7,4,4,4,5,8,4,5,6,7,8,9,5,11,2,7,6,5,6,4,3
" "," ","35-39 years",4,1,1,1,5,3,3,3,3,3,4,5,4,4,5,2,2,4,1,7,8,3,2,2,4
" "," ","40-44 years",0,1,2,3,1,2,0,3,4,3,4,2,3,5,3,1,3,5,1,1,6,4,2,3,2
" "," ","45-49 years",1,1,1,1,1,1,2,3,0,3,0,1,1,1,1,4,2,7,4,2,7,3,2,3,1
" "," ","50-54 years",1,3,3,0,0,1,2,0,0,1,3,2,1,1,1,1,2,3,2,3,5,6,5,2,2
" "," ","55-59 years",1,0,0,0,1,2,1,1,1,1,0,0,2,1,1,2,5,4,2,3,3,1,3,2,0
" "," ","60-64 years",0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,1,0
" "," ","65-69 years",2,0,2,2,0,0,1,0,0,1,1,0,0,1,1,1,3,0,0,0,0,1,1,1,0
" "," ","70-74 years",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
" "," ","75 years and over",0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
" ","New Plymouth District","0-4 years",31,31,29,28,23,30,38,37,39,34,37,15,24,28,15,33,29,29,22,37,46,43,26,20,17
" "," ","5-9 years",38,33,17,29,24,24,35,35,21,34,32,22,14,21,24,14,35,32,17,20,37,46,24,11,18
" "," ","10-14 years",19,30,16,23,23,18,19,29,27,45,28,11,16,19,20,21,22,35,23,24,43,22,21,12,15
" "," ","15-19 years",39,33,35,32,38,34,37,36,53,44,47,31,34,32,44,38,65,53,33,32,43,41,50,31,23
